assetIssued,paymentDate,rate,relatedTo,approvedOn,isinCode,label,lastDatePrior,remarks,code
BRBICRCTF009,2023-01-13,0.82,Dezembro/2022,2022-12-29,BRBICRCTF009,RENDIMENTO,2022-12-29,,BICR
BRBICRCTF009,2022-12-14,1.1,Novembro/2022,2022-11-30,BRBICRCTF009,RENDIMENTO,2022-11-30,,BICR
BRBICRCTF009,2022-11-16,1.01,Outubro/2022,2022-10-31,BRBICRCTF009,RENDIMENTO,2022-10-31,,BICR
BRBICRCTF009,2022-10-17,0.73,Setembro/2022,2022-09-30,BRBICRCTF009,RENDIMENTO,2022-09-30,,BICR
BRBICRCTF009,2022-09-15,0.82,Agosto/2022,2022-08-31,BRBICRCTF009,RENDIMENTO,2022-08-31,,BICR
BRBICRCTF009,2022-08-12,0.55,Julho/2022,2022-07-29,BRBICRCTF009,RENDIMENTO,2022-07-29,,BICR
BRBICRCTF009,2022-07-14,0.61,Junho/2022,2022-06-30,BRBICRCTF009,RENDIMENTO,2022-06-30,,BICR
BRBICRCTF009,2022-06-14,0.91,Maio/2022,2022-05-31,BRBICRCTF009,RENDIMENTO,2022-05-31,,BICR
BRBICRCTF009,2022-05-13,1.1,Abril/2022,2022-04-29,BRBICRCTF009,RENDIMENTO,2022-04-29,,BICR
BRBICRCTF009,2022-04-14,0.68,Março/2022,2022-03-31,BRBICRCTF009,RENDIMENTO,2022-03-31,,BICR
BRBICRCTF009,2022-03-15,0.64,Fevereiro/2022,2022-02-25,BRBICRCTF009,RENDIMENTO,2022-02-25,,BICR
BRBICRCTF009,2022-02-14,0.48,Janeiro/2022,2022-01-31,BRBICRCTF009,RENDIMENTO,2022-01-31,,BICR
BRXPPRCTF000,2023-01-13,0.3,12-2022/2022,2022-12-29,BRXPPRCTF000,RENDIMENTO,2022-12-29,,XPPR
BRXPPRCTF000,2022-12-14,0.3,11-2022/2022,2022-11-30,BRXPPRCTF000,RENDIMENTO,2022-11-30,,XPPR
BRXPPRCTF000,2022-11-16,0.3,10-2022/2022,2022-10-31,BRXPPRCTF000,RENDIMENTO,2022-10-31,,XPPR
BRXPPRCTF000,2022-10-17,0.3,09-2022/2022,2022-09-30,BRXPPRCTF000,RENDIMENTO,2022-09-30,,XPPR
BRXPPRCTF000,2022-09-15,0.3,08-2022/2022,2022-08-31,BRXPPRCTF000,RENDIMENTO,2022-08-31,,XPPR
BRXPPRCTF000,2022-08-12,0.35,07-2022/2022,2022-07-29,BRXPPRCTF000,RENDIMENTO,2022-07-29,,XPPR
BRXPPRCTF000,2022-07-14,0.35,06-2022/2022,2022-06-30,BRXPPRCTF000,RENDIMENTO,2022-06-30,,XPPR
BRXPPRCTF000,2022-06-14,0.45,05-2022/2022,2022-05-31,BRXPPRCTF000,RENDIMENTO,2022-05-31,,XPPR
BRXPPRCTF000,2022-05-13,0.45,04-2022/2022,2022-04-29,BRXPPRCTF000,RENDIMENTO,2022-04-29,,XPPR
BRXPPRCTF000,2022-04-14,0.45,03-2022/2022,2022-03-31,BRXPPRCTF000,RENDIMENTO,2022-03-31,,XPPR
BRXPPRCTF000,2022-03-15,0.45,02-2022/2022,2022-02-25,BRXPPRCTF000,RENDIMENTO,2022-02-25,,XPPR
BRXPPRCTF000,2022-02-14,0.45,01-2022/2022,2022-01-31,BRXPPRCTF000,RENDIMENTO,2022-01-31,,XPPR
BRMCHFCTF003,2023-01-18,0.1,Dezembro-2022/2023,2023-01-11,BRMCHFCTF003,RENDIMENTO,2023-01-11,,MCHF
BRMCHFCTF003,2022-12-19,0.11,Novembro-2022/2022,2022-12-12,BRMCHFCTF003,RENDIMENTO,2022-12-12,,MCHF
BRMCHFCTF003,2022-11-21,0.11,Outubro-2022/2022,2022-11-11,BRMCHFCTF003,RENDIMENTO,2022-11-11,,MCHF
BRMCHFCTF003,2022-10-20,0.11,Setembro-2022/2022,2022-10-13,BRMCHFCTF003,RENDIMENTO,2022-10-13,,MCHF
BRMCHFCTF003,2022-09-20,0.11,Agosto/2022,2022-09-13,BRMCHFCTF003,RENDIMENTO,2022-09-13,,MCHF
BRMCHFCTF003,2022-08-17,0.12,Julho/2022,2022-08-10,BRMCHFCTF003,RENDIMENTO,2022-08-10,,MCHF
BRMCHFCTF003,2022-07-19,0.12,Junho/2022,2022-07-12,BRMCHFCTF003,RENDIMENTO,2022-07-12,,MCHF
BRMCHFCTF003,2022-06-20,0.11,Maio/2022,2022-06-10,BRMCHFCTF003,RENDIMENTO,2022-06-10,,MCHF
BRMCHFCTF003,2022-05-18,0.11,Abril/2022,2022-05-11,BRMCHFCTF003,RENDIMENTO,2022-05-11,,MCHF
BRMCHFCTF003,2022-04-20,0.11,Março/2022,2022-04-12,BRMCHFCTF003,RENDIMENTO,2022-04-12,,MCHF
BRMCHFCTF003,2022-03-18,0.11,Fevereiro/2022,2022-03-11,BRMCHFCTF003,RENDIMENTO,2022-03-11,,MCHF
BRMCHFR03M18,2022-03-18,0.035333781,Fevereiro/2022,2022-03-11,BRMCHFR03M18,RENDIMENTO,2022-03-11,,MCHF
