assetIssued,percentage,priceUnit,tradingPeriod,subscriptionDate,approvedOn,isinCode,label,lastDatePrior,remarks,code
BRRZTRCTF003,,,06/07/2022 a 27/07/2022,,2022-02-01,BRRZTRCTF003,SUBSCRICAO,2022-03-14,,RZTR
BRHUSICTF006,,,31/12/9999 a 22/12/2021,2021-12-28,2021-11-05,BRHUSICTF006,SUBSCRICAO,2021-11-10,,HUSI
BRPORDCTF005,,,01/06/2021 a 10/06/2021,2021-06-15,2020-12-10,BRPORDCTF005,SUBSCRICAO,2021-05-28,,PORD
BRPQDPCTF004,,,31/12/9999 a 20/04/2022,2022-04-26,2022-04-04,BRPQDPCTF004,SUBSCRICAO,2022-04-07,,PQDP
BRRSPDCTF006,,,31/12/9999 a 12/02/2020,2020-02-17,2019-10-23,BRRSPDCTF006,SUBSCRICAO,2020-02-03,,RSPD
BRTRXBCTF002,,,31/12/9999 a 13/01/2023,2023-01-18,2022-12-27,BRTRXBCTF002,SUBSCRICAO,2023-01-02,,TRXB
BRTRXBCTF002,,,31/12/9999 a 02/03/2022,2022-03-07,2022-02-15,BRTRXBCTF002,SUBSCRICAO,2022-02-15,,TRXB
BRRCRBCTF000,,,31/12/9999 a 14/07/2020,2020-07-17,2020-06-26,BRRCRBCTF000,SUBSCRICAO,2020-06-26,,RCRB
BRHTMXCTF000,,,31/12/9999 a 28/07/2022,2022-08-02,2022-07-13,BRHTMXCTF000,SUBSCRICAO,2022-07-18,,HTMX
BRXPMLCTF000,,,31/12/9999 a 27/09/2022,2022-09-30,2022-09-12,BRXPMLCTF000,SUBSCRICAO,2022-09-15,,XPML
BROUJPCTF006,,,31/12/9999 a 24/02/2021,2021-03-01,2021-02-05,BROUJPCTF006,SUBSCRICAO,2021-02-05,,OUJP
BROULGCTF001,,,27/11/2019 a 03/12/2019,2019-12-10,2019-09-02,BROULGCTF001,SUBSCRICAO,2019-11-25,,OULG
BRVGIRCTF008,,,18/10/2022 a 26/10/2022,2022-10-31,2022-10-10,BRVGIRCTF008,SUBSCRICAO,2022-10-14,,VGIR
BRVGIRCTF008,,,18/03/2022 a 28/03/2022,2022-03-31,2022-02-02,BRVGIRCTF008,SUBSCRICAO,2022-03-16,,VGIR
BRREITCTF007,,,31/12/9999 a 24/02/2015,2015-03-03,2015-02-25,BRREITCTF007,SUBSCRICAO,2015-02-25,,REIT
BREVBICTF007,,,31/12/9999 a 02/01/2023,2023-01-05,2022-12-14,BREVBICTF007,SUBSCRICAO,2022-12-19,,EVBI
BREVBICTF007,,,11/10/2022 a 24/10/2022,2022-10-27,2022-09-12,BREVBICTF007,SUBSCRICAO,2022-10-06,,EVBI
BRIRDMCTF004,,,31/12/9999 a 09/08/2022,2022-08-12,2022-07-25,BRIRDMCTF004,SUBSCRICAO,2022-07-28,,IRDM
BRPATBCTF004,,,31/12/9999 a 09/08/2019,2019-08-16,2019-07-26,BRPATBCTF004,SUBSCRICAO,2019-07-30,,PATB
BRMFCRCTF002,,,31/12/9999 a 23/12/2022,2022-12-28,2022-12-07,BRMFCRCTF002,SUBSCRICAO,2022-12-12,,MFCR
BRVGIACTF004,,,15/09/2022 a 23/09/2022,2022-09-28,2022-08-12,BRVGIACTF004,SUBSCRICAO,2022-09-12,,VGIA
BRVGIACTF004,,,13/04/2022 a 25/04/2022,2022-04-28,2022-03-09,BRVGIACTF004,SUBSCRICAO,2022-04-11,,VGIA
BRBODBCTF009,,,31/12/9999 a 09/06/2022,2022-06-14,2022-05-25,BRBODBCTF009,SUBSCRICAO,2022-05-30,,BODB
BRJASCCTF007,,,31/12/9999 a 29/11/2022,2022-12-02,2022-11-14,BRJASCCTF007,SUBSCRICAO,2022-11-17,,JASC
BRXPPRCTF000,,,29/10/2020 a 09/11/2020,2020-11-12,2020-10-22,BRXPPRCTF000,SUBSCRICAO,2020-10-22,,XPPR
BRMCHFCTF003,,,31/01/2022 a 08/02/2022,2022-02-11,2021-12-22,BRMCHFCTF003,SUBSCRICAO,2022-01-27,,MCHF
BRBLMOCTF009,,,31/12/9999 a 21/07/2020,2020-07-24,2020-06-30,BRBLMOCTF009,SUBSCRICAO,2020-07-03,,BLMO
BRHPDPCTF003,,,31/12/9999 a 30/01/2020,2020-02-04,2019-12-20,BRHPDPCTF003,SUBSCRICAO,2020-01-15,,HPDP
BRVINOCTF001,,,31/12/9999 a 12/01/2022,2022-01-17,2021-12-17,BRVINOCTF001,SUBSCRICAO,2021-12-29,,VINO
BRSHSOCTF008,,,31/12/9999 a 22/08/2022,2022-08-25,2022-08-05,BRSHSOCTF008,SUBSCRICAO,2022-08-10,,SHSO
BRMORCCTF004,,,31/12/9999 a 07/04/2022,2022-04-12,2022-03-21,BRMORCCTF004,SUBSCRICAO,2022-03-28,,MORC
BRFATNCTF000,,,31/12/9999 a 18/08/2022,2022-08-23,2022-07-22,BRFATNCTF000,SUBSCRICAO,2022-08-05,,FATN
BRFATNCTF000,,,31/12/9999 a 18/08/2022,2022-08-23,2022-07-22,BRFATNR01M17,SUBSCRICAO,2022-08-05,,FATN
BRMXRFCTF008,,,31/12/9999 a 22/03/2021,2021-03-25,2021-03-05,BRMXRFCTF008,SUBSCRICAO,2021-03-09,,MXRF
BRHLOGCTF008,,,31/12/9999 a 15/10/2020,2020-10-20,2020-09-21,BRHLOGCTF008,SUBSCRICAO,2020-09-29,,HLOG
BRCARECTF000,,,16/05/2017 a 16/05/2017,2017-05-30,2017-03-02,BRCARECTF000,SUBSCRICAO,2017-05-15,,CARE
BRHSAFCTF004,,,17/06/2022 a 27/06/2022,2022-06-30,2022-06-08,BRHSAFCTF004,SUBSCRICAO,2022-06-14,,HSAF
BRANCRCTF001,,,31/12/9999 a 01/11/2013,2013-11-08,2013-10-31,BRANCRCTF001,SUBSCRICAO,2013-10-31,,ANCR
BRAGRXCTF001,,,31/12/9999 a 17/11/2022,2022-11-22,2022-10-28,BRAGRXCTF001,SUBSCRICAO,2022-11-03,,AGRX
BRMFAICTF005,,,31/12/9999 a 09/05/2022,2022-05-12,2022-03-14,BRMFAICTF005,SUBSCRICAO,2022-04-27,,MFAI
BRHGPOCTF009,,,31/12/9999 a 30/04/2021,2021-05-05,2021-04-07,BRHGPOCTF009,SUBSCRICAO,2021-04-14,,HGPO
BRJPPACTF005,,,31/12/9999 a 24/10/2022,2022-10-27,2022-09-27,BRJPPACTF005,SUBSCRICAO,2022-10-06,,JPPA
BRCPFFCTF000,,,31/12/9999 a 20/08/2021,2021-08-25,2021-08-04,BRCPFFCTF000,SUBSCRICAO,2021-08-09,,CPFF
BRXPHTCTF011,,,09/03/2020 a 17/03/2020,2020-03-20,2020-01-21,BRXPHTCTF003,SUBSCRICAO,2020-03-02,,XPHT
BRXPHTCTF011,,,09/03/2020 a 17/03/2020,2020-03-20,2020-01-21,BRXPHTCTF011,SUBSCRICAO,2020-03-02,,XPHT
BRXPHTCTF011,,,09/03/2020 a 17/03/2020,2020-03-20,2020-01-21,BRXPHTCTF029,SUBSCRICAO,2020-03-02,,XPHT
BRRBRRCTF008,,,16/05/2022 a 24/05/2022,2022-05-27,2022-03-31,BRRBRRCTF008,SUBSCRICAO,2022-05-12,,RBRR
BRLUGGCTF007,,,31/12/9999 a 16/11/2022,2022-11-21,2022-10-06,BRLUGGCTF007,SUBSCRICAO,2022-11-03,,LUGG
BRGAMECTF002,,,31/12/9999 a 11/11/2022,2022-11-17,2022-10-24,BRGAMECTF002,SUBSCRICAO,2022-11-04,,GAME
BRGCRICTF008,,,31/12/9999 a 27/05/2022,2022-06-01,2022-04-01,BRGCRICTF008,SUBSCRICAO,2022-05-13,,GCRI
BRRURACTF004,,,25/10/2022 a 31/10/2022,2022-11-04,2022-09-08,BRRURACTF004,SUBSCRICAO,2022-10-20,,RURA
BRATCRCTF008,,,31/12/9999 a 14/12/2015,2015-12-21,2015-12-03,BRATCRCTF008,SUBSCRICAO,2015-12-03,,ATCR
BRATCRCTF008,,,31/12/9999 a 05/11/2013,2013-11-12,2013-11-07,BRATCRCTF008,SUBS C/ RENUNC,2013-11-07,,ATCR
BRXPINCTF004,,,31/12/9999 a 28/07/2021,2021-08-02,2021-06-18,BRXPINCTF004,SUBSCRICAO,2021-06-23,,XPIN
BRBRCRCTF000,,,31/12/9999 a 08/07/2020,2020-07-13,2020-06-19,BRBRCRCTF000,SUBSCRICAO,2020-06-22,,BRCR
BRCJCTCTF001,,,31/12/9999 a 06/10/2022,2022-10-11,2022-09-21,BRCJCTCTF001,SUBSCRICAO,2022-09-26,,CJCT
BRZIFICTF000,,,31/12/9999 a 09/06/2022,2022-06-14,2022-05-24,BRZIFICTF000,SUBSCRICAO,2022-05-27,,ZIFI
BRRELGCTF008,,,31/12/9999 a 19/04/2021,2021-04-23,2021-04-01,BRRELGCTF008,SUBSCRICAO,2021-04-07,,RELG
BRRBHYCTF005,,,08/12/2022 a 16/12/2022,2022-12-21,2022-09-12,BRRBHYCTF005,SUBSCRICAO,2022-10-28,,RBHY
